rank,rule,recommendation,impact,coverage_%,cumulative_impact,suggested_tier
229,(card_Category == Blue) AND (Avg_Utilization_Ratio <= 0) AND...,❌ AVOID (negative),-1.06,4.4%,221.84,❌ Skip
84,(Avg_Utilization_Ratio > 0.138) AND (income_Category == Less...,❌ AVOID (negative),-1.08,4.4%,220.76,❌ Skip
73,(Avg_Utilization_Ratio > 0.174) AND (education_Level == Unkn...,❌ AVOID (negative),-1.08,7.4%,219.68,❌ Skip
282,(Avg_Utilization_Ratio > 0) AND (Avg_Utilization_Ratio > 0.0...,❌ AVOID (negative),-1.08,5.9%,218.60,❌ Skip
8,(card_Category == Blue) AND (income_Category == Unknown),❌ AVOID (negative),-1.09,5.9%,217.51,❌ Skip
59,(card_Category == Blue) AND (income_Category == $60K - $80K)...,❌ AVOID (negative),-1.11,4.4%,216.40,❌ Skip
251,(Total_Trans_Ct <= 71) AND (income_Category == Less than $40...,❌ AVOID (negative),-1.11,5.9%,215.29,❌ Skip
125,(Total_Trans_Ct <= 92) AND (income_Category == $60K - $80K),❌ AVOID (negative),-1.13,7.4%,214.16,❌ Skip
26,(income_Category == $60K - $80K) AND (card_Category == Blue),❌ AVOID (negative),-1.15,5.9%,213.01,❌ Skip
176,(income_Category == Less than $40K) AND (Avg_Utilization_Rat...,❌ AVOID (negative),-1.15,5.9%,211.86,❌ Skip
17,(card_Category == Blue) AND (income_Category == $60K - $80K),❌ AVOID (negative),-1.16,8.1%,210.70,❌ Skip
65,(income_Category == Less than $40K) AND (education_Level == ...,❌ AVOID (negative),-1.17,4.9%,209.53,❌ Skip
131,(card_Category == Blue) AND (Avg_Utilization_Ratio <= 0) AND...,❌ AVOID (negative),-1.18,5.9%,208.35,❌ Skip
34,(Avg_Utilization_Ratio <= 0.151) AND (Avg_Utilization_Ratio ...,❌ AVOID (negative),-1.19,5.9%,207.16,❌ Skip
151,(card_Category == Blue) AND (income_Category == Less than $4...,❌ AVOID (negative),-1.21,5.9%,205.95,❌ Skip
39,(Avg_Utilization_Ratio > 0.151) AND (Avg_Utilization_Ratio >...,❌ AVOID (negative),-1.22,7.4%,204.73,❌ Skip
18,(card_Category == Blue) AND (income_Category == Less than $4...,❌ AVOID (negative),-1.22,4.8%,203.51,❌ Skip
243,(Avg_Utilization_Ratio > 0.146) AND (income_Category == Less...,❌ AVOID (negative),-1.23,4.4%,202.28,❌ Skip
61,(income_Category == $40K - $60K) AND (card_Category == Blue),❌ AVOID (negative),-1.23,5.9%,201.05,❌ Skip
274,(Customer_Age <= 48) AND (Avg_Utilization_Ratio <= 0.063) AN...,❌ AVOID (negative),-1.23,4.4%,199.82,❌ Skip
57,(Total_Trans_Amt <= 5638) AND (income_Category == Less than ...,❌ AVOID (negative),-1.23,4.4%,198.59,❌ Skip
7,(card_Category == Blue) AND (income_Category == $40K - $60K),❌ AVOID (negative),-1.26,7.0%,197.33,❌ Skip
145,(income_Category == Less than $40K) AND (attrition_Flag == E...,❌ AVOID (negative),-1.36,8.9%,195.97,❌ Skip
213,(Avg_Utilization_Ratio > 0.094) AND (income_Category == Less...,❌ AVOID (negative),-1.37,10.3%,194.60,❌ Skip
233,(card_Category == Blue) AND (income_Category == $80K - $120K...,❌ AVOID (negative),-1.39,4.4%,193.21,❌ Skip
179,(income_Category == $40K - $60K) AND (Total_Trans_Amt <= 479...,❌ AVOID (negative),-1.39,4.4%,191.82,❌ Skip
13,(income_Category == $40K - $60K),❌ AVOID (negative),-1.43,7.4%,190.39,❌ Skip
150,(card_Category == Blue) AND (income_Category == $80K - $120K...,❌ AVOID (negative),-1.48,5.9%,188.91,❌ Skip
288,(Avg_Utilization_Ratio > 0) AND (Avg_Utilization_Ratio > 0.1...,❌ AVOID (negative),-1.48,13.3%,187.43,❌ Skip
171,(card_Category == Blue) AND (education_Level == Uneducated),❌ AVOID (negative),-1.48,4.4%,185.95,❌ Skip
85,(Avg_Utilization_Ratio > 0.138) AND (income_Category == $40K...,❌ AVOID (negative),-1.52,5.9%,184.43,❌ Skip
226,(card_Category == Blue) AND (Avg_Utilization_Ratio > 0) AND ...,❌ AVOID (negative),-1.53,19.2%,182.90,❌ Skip
92,(Avg_Utilization_Ratio <= 0.125) AND (Avg_Utilization_Ratio ...,❌ AVOID (negative),-1.54,8.9%,181.36,❌ Skip
143,(card_Category == Blue) AND (education_Level == Graduate) AN...,❌ AVOID (negative),-1.55,7.4%,179.81,❌ Skip
138,(Avg_Utilization_Ratio > 0) AND (Avg_Utilization_Ratio > 0.1...,❌ AVOID (negative),-1.61,4.4%,178.20,❌ Skip
104,(card_Category == Blue) AND (Avg_Utilization_Ratio > 0) AND ...,❌ AVOID (negative),-1.74,7.4%,176.46,❌ Skip
128,(card_Category == Blue) AND (Avg_Utilization_Ratio > 0) AND ...,❌ AVOID (negative),-1.75,19.2%,174.71,❌ Skip
46,(card_Category == Blue) AND (CLIENTNUM > 711398433) AND (inc...,❌ AVOID (negative),-1.76,4.4%,172.95,❌ Skip
56,(Total_Trans_Amt <= 5638) AND (income_Category == Less than ...,❌ AVOID (negative),-1.77,5.9%,171.18,❌ Skip
71,(Avg_Utilization_Ratio <= 0.174) AND (Avg_Utilization_Ratio ...,❌ AVOID (negative),-1.79,8.9%,169.39,❌ Skip
211,(Avg_Utilization_Ratio <= 0.094) AND (Avg_Utilization_Ratio ...,❌ AVOID (negative),-1.79,4.4%,167.60,❌ Skip
291,(Avg_Utilization_Ratio <= 0) AND (income_Category == $40K - ...,❌ AVOID (negative),-1.85,4.4%,165.75,❌ Skip
44,(card_Category == Blue) AND (CLIENTNUM > 711398433) AND (inc...,❌ AVOID (negative),-1.85,5.9%,163.90,❌ Skip
261,(education_Level == Graduate) AND (Customer_Age <= 49),❌ AVOID (negative),-1.90,7.4%,162.00,❌ Skip
126,(Total_Trans_Ct <= 92) AND (income_Category == Less than $40...,❌ AVOID (negative),-1.97,5.9%,160.03,❌ Skip
281,(Avg_Utilization_Ratio > 0) AND (Avg_Utilization_Ratio > 0.0...,❌ AVOID (negative),-2.01,11.8%,158.02,❌ Skip
160,(income_Category == $40K - $60K) AND (education_Level == Une...,❌ AVOID (negative),-2.07,4.4%,155.95,❌ Skip
209,(Avg_Utilization_Ratio <= 0.094) AND (Avg_Utilization_Ratio ...,❌ AVOID (negative),-2.10,8.9%,153.85,❌ Skip
165,(card_Category == Blue) AND (Avg_Utilization_Ratio <= 0) AND...,❌ AVOID (negative),-2.12,8.9%,151.73,❌ Skip
37,(Avg_Utilization_Ratio > 0.151) AND (Avg_Utilization_Ratio >...,❌ AVOID (negative),-2.13,13.3%,149.60,❌ Skip
5,(card_Category == Blue) AND (income_Category == Less than $4...,❌ AVOID (negative),-2.18,7.7%,147.42,❌ Skip
189,(Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contact...,❌ AVOID (negative),-2.21,7.4%,145.21,❌ Skip
103,(card_Category == Blue) AND (Avg_Utilization_Ratio > 0) AND ...,❌ AVOID (negative),-2.22,8.9%,142.99,❌ Skip
136,(Avg_Utilization_Ratio > 0) AND (Avg_Utilization_Ratio > 0.1...,❌ AVOID (negative),-2.41,8.9%,140.58,❌ Skip
167,(income_Category == Less than $40K) AND (marital_Status == M...,❌ AVOID (negative),-2.41,4.4%,138.17,❌ Skip
239,(Avg_Utilization_Ratio <= 0.146) AND (Avg_Utilization_Ratio ...,❌ AVOID (negative),-2.45,10.3%,135.72,❌ Skip
140,(card_Category == Blue) AND (education_Level == Graduate),❌ AVOID (negative),-2.58,12.5%,133.14,❌ Skip
222,(card_Category == Blue) AND (Naive_Bayes_Classifier_Attritio...,❌ AVOID (negative),-2.73,10.3%,130.41,❌ Skip
259,(education_Level == Graduate),❌ AVOID (negative),-2.79,11.8%,127.62,❌ Skip
81,(Avg_Utilization_Ratio <= 0.138) AND (Avg_Utilization_Ratio ...,❌ AVOID (negative),-2.84,8.9%,124.78,❌ Skip
16,(income_Category == Less than $40K),❌ AVOID (negative),-2.98,9.2%,121.80,❌ Skip
117,(Avg_Utilization_Ratio <= 0) AND (Naive_Bayes_Classifier_Att...,❌ AVOID (negative),-3.09,10.3%,118.71,❌ Skip
35,(Avg_Utilization_Ratio > 0.151),❌ AVOID (negative),-3.21,25.1%,115.50,❌ Skip
159,(income_Category == Less than $40K) AND (card_Category == Bl...,❌ AVOID (negative),-3.24,10.3%,112.26,❌ Skip
283,(Avg_Utilization_Ratio <= 0) AND (education_Level == Unknown...,❌ AVOID (negative),-3.25,5.9%,109.01,❌ Skip
190,(Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contact...,❌ AVOID (negative),-3.45,4.4%,105.56,❌ Skip
72,(Avg_Utilization_Ratio > 0.174),❌ AVOID (negative),-3.46,20.7%,102.10,❌ Skip
94,(Avg_Utilization_Ratio > 0.125),❌ AVOID (negative),-3.49,22.1%,98.61,❌ Skip
273,(Customer_Age <= 48) AND (Avg_Utilization_Ratio <= 0.063),❌ AVOID (negative),-3.61,13.3%,95.00,❌ Skip
105,(card_Category == Blue) AND (Avg_Utilization_Ratio <= 0),❌ AVOID (negative),-3.77,12.2%,91.23,❌ Skip
249,(Total_Trans_Ct <= 71),❌ AVOID (negative),-4.19,17.7%,87.04,❌ Skip
49,(Total_Trans_Amt <= 5638),❌ AVOID (negative),-4.35,33.9%,82.69,❌ Skip
83,(Avg_Utilization_Ratio > 0.138),❌ AVOID (negative),-4.54,17.7%,78.15,❌ Skip
241,(Avg_Utilization_Ratio > 0.146),❌ AVOID (negative),-4.84,13.3%,73.31,❌ Skip
269,(Customer_Age <= 48),❌ AVOID (negative),-5.45,22.1%,67.86,❌ Skip
212,(Avg_Utilization_Ratio > 0.094),❌ AVOID (negative),-5.45,22.1%,62.41,❌ Skip
115,(Avg_Utilization_Ratio <= 0),❌ AVOID (negative),-5.72,15.0%,56.69,❌ Skip
121,(Total_Trans_Ct <= 92),❌ AVOID (negative),-5.76,32.5%,50.93,❌ Skip
1,(card_Category == Blue),❌ AVOID (negative),-6.20,33.1%,44.73,❌ Skip
43,(card_Category == Blue) AND (CLIENTNUM > 711398433),❌ AVOID (negative),-6.79,17.7%,37.94,❌ Skip
